TXN_ID,CUSTOMER_ID,TXN_DATE,CURRENCY,REGION,CHANNEL,PRODUCT_TYPE,LEGACY_AMOUNT,NEW_SYSTEM_AMOUNT,AMOUNT_DIFF,AMOUNT_DIFF_PCT,LEGACY_STATUS,NEW_SYSTEM_STATUS,VALIDATION_STATUS,VALIDATED_AT,AI_EXPLANATION,AI_EXPLAINED_AT
TXN-1001,CUST-901001,2026-08-20,USD,NAN,ONLINE,DEPOSIT,120.0,120.0,0.0,0.0,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1002,CUST-901002,2026-08-20,EUR,EMEA,MOBILE,WIRE_TRANSFER,45.5,45.5,0.0,0.0,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1003,CUST-901003,2026-08-21,USD,APAC,BRANCH,WIRE_TRANSFER,500.0,500.5,0.5,0.1,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1004,CUST-901004,2026-08-21,GBP,EMEA,ATM,LOAN_PAYMENT,15.75,15.75,0.0,0.0,COMPLETED,FAILED,STATUS_MISMATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1005,CUST-901005,2026-08-22,INR,APAC,ONLINE,BILL_PAY,250.0,,0.0,0.0,PENDING,,MISSING,2026-08-25 08:42:36.250650+00:00,,
TXN-1006,CUST-901006,2026-08-22,USD,NAN,ONLINE,FX_CONVERSION,89.99,89.99,0.0,0.0,FAILED,FAILED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1007,CUST-901007,2026-08-23,AED,EMEA,BRANCH,DEPOSIT,1050.0,1050.0,0.0,0.0,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1008,CUST-901008,2026-08-23,USD,NAN,MOBILE,BILL_PAY,75.0,75.0,0.0,0.0,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1009,,2026-08-24,EUR,EMEA,ATM,DEPOSIT,30.0,,0.0,0.0,COMPLETED,,MISSING,2026-08-25 08:42:36.250650+00:00,,
TXN-1010,CUST-901010,2026-08-24,USD,LATAM,ONLINE,WIRE_TRANSFER,620.4,620.4,0.0,0.0,COMPLETED,COMPLETED,MATCH,2026-08-25 08:42:36.250650+00:00,,
TXN-1011,CUST-901011,2026-08-24,USD,NAN,ONLINE,DEPOSIT,,95.0,0.0,0.0,,COMPLETED,PHANTOM,2026-08-25 08:42:36.250650+00:00,,
